trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-84.97140614822976,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-166.3824616433381,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-84.4161642362268,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-130.32738983264525,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-87.38672903505528,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-70.78503540753007,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-90.47656771115258,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-89.67721242621583,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,0,-245.42861613539839,"{0: 20, 1: 1, 2: 10, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-140.50319499337138,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-105.02094260705196,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-43.23703986315151,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-31.784368841810263,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-110.5918508647403,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-112.36781053383002,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-130.34710328386572,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-87.97929370234885,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,0.35592845282059205,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,7,-18.655362288336516,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-30.93657538622296,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",30,19,-21.530533628732716,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,0,-17.20650394526636,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",30,16,22.09458127451542,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-33.14167728960675,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,14,11.999852123301741,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,-87.3598320698202,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",25,19,9.91332922696639,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-10.03832563316311,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,14,-65.74503197533775,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",20,0,16.447807917111888,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
