trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.999}",30,0,-121.0319298732356,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.7, 'e': 0.998}",20,0,-26.033308881858193,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
3,False,"{'a': 0.7, 'e': 0.997}",20,8,-0.7564852415767158,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.7, 'e': 0.996}",25,17,-22.273427715937196,"{0: 5, 1: 2, 2: 0, 3: 1, 4: 0}",1
5,False,"{'a': 0.7, 'e': 0.995}",20,0,-151.4762048804174,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.994}",20,0,-49.5047679370189,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.7, 'e': 0.993}",25,0,-73.1393894775487,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.992}",30,0,-213.24565663636776,"{0: 15, 1: 1, 2: 11, 3: 0, 4: 3}",0
9,False,"{'a': 0.7, 'e': 0.991}",25,0,-132.89773993177585,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
10,False,"{'a': 0.7, 'e': 0.99}",30,0,-126.24757167924453,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.989}",20,0,-63.68974941930773,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.7, 'e': 0.988}",30,0,-115.878627808775,"{0: 16, 1: 6, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.7, 'e': 0.987}",20,0,-181.45755005163628,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
14,False,"{'a': 0.7, 'e': 0.986}",25,0,-148.2392288408829,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.7, 'e': 0.985}",35,0,-151.5374842132476,"{0: 25, 1: 3, 2: 3, 3: 1, 4: 3}",0
16,False,"{'a': 0.7, 'e': 0.984}",30,12,-82.00568707665259,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 1}",1
17,False,"{'a': 0.7, 'e': 0.983}",20,0,-50.666688003321006,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.7, 'e': 0.982}",25,0,-144.76121635376052,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
19,False,"{'a': 0.7, 'e': 0.981}",25,0,-87.47659460812879,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.7, 'e': 0.98}",20,0,-110.8241409144898,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
21,False,"{'a': 0.7, 'e': 0.979}",25,0,-114.77871859525561,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
22,False,"{'a': 0.7, 'e': 0.978}",20,0,-12.816355495620257,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.7, 'e': 0.977}",20,0,-134.6195679877765,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
24,False,"{'a': 0.7, 'e': 0.976}",25,0,-118.42367775153255,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 0}",0
25,False,"{'a': 0.7, 'e': 0.975}",25,0,-190.34745698330516,"{0: 14, 1: 5, 2: 2, 3: 0, 4: 4}",0
26,False,"{'a': 0.7, 'e': 0.974}",30,0,-245.97566406825544,"{0: 14, 1: 1, 2: 10, 3: 2, 4: 3}",0
27,False,"{'a': 0.7, 'e': 0.973}",20,0,-128.4878370300333,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
28,False,"{'a': 0.7, 'e': 0.972}",20,0,-55.363067610800854,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
29,False,"{'a': 0.7, 'e': 0.971}",30,0,-209.16817935233564,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 4}",0
30,False,"{'a': 0.7, 'e': 0.97}",20,0,-8.914219483285429,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
31,False,"{'a': 0.7, 'e': 0.969}",25,0,-102.97606425025941,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
32,False,"{'a': 0.7, 'e': 0.968}",20,0,-99.67673135907256,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
33,False,"{'a': 0.7, 'e': 0.967}",30,0,-144.58729166376696,"{0: 23, 1: 0, 2: 3, 3: 1, 4: 3}",0
34,False,"{'a': 0.7, 'e': 0.966}",30,0,-162.50816726824783,"{0: 17, 1: 1, 2: 8, 3: 3, 4: 1}",0
35,False,"{'a': 0.7, 'e': 0.965}",30,19,-72.36070075684296,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 1}",1
36,False,"{'a': 0.7, 'e': 0.964}",25,0,-191.70066106522023,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
37,False,"{'a': 0.7, 'e': 0.963}",20,10,-19.000340077535938,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.7, 'e': 0.962}",20,0,-88.44504785670985,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
39,False,"{'a': 0.7, 'e': 0.961}",20,0,-182.4268093621515,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
40,False,"{'a': 0.7, 'e': 0.96}",25,0,-32.722906882550944,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
41,False,"{'a': 0.7, 'e': 0.959}",20,0,-76.57687003857428,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
42,False,"{'a': 0.7, 'e': 0.958}",25,8,-50.61068105161347,"{0: 9, 1: 5, 2: 2, 3: 1, 4: 0}",1
43,False,"{'a': 0.7, 'e': 0.957}",30,0,-151.9551134292797,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
44,False,"{'a': 0.7, 'e': 0.956}",35,0,-183.14823269566494,"{0: 19, 1: 4, 2: 8, 3: 3, 4: 1}",0
45,False,"{'a': 0.7, 'e': 0.955}",25,0,-41.91865924039644,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",1
46,False,"{'a': 0.7, 'e': 0.954}",25,0,-200.71668140458146,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
47,False,"{'a': 0.7, 'e': 0.953}",20,0,-77.9332380467892,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
48,False,"{'a': 0.7, 'e': 0.952}",20,0,-109.70603475704526,"{0: 10, 1: 2, 2: 5, 3: 3, 4: 0}",0
49,False,"{'a': 0.7, 'e': 0.951}",20,0,-122.72829670128354,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
50,False,"{'a': 0.7, 'e': 0.95}",20,0,-80.70770459992465,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
51,False,"{'a': 0.7, 'e': 0.949}",25,0,-218.90400777994424,"{0: 12, 1: 6, 2: 2, 3: 1, 4: 4}",0
52,False,"{'a': 0.7, 'e': 0.948}",20,8,-62.97682409667789,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
53,False,"{'a': 0.7, 'e': 0.947}",30,0,-94.7203331581538,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
54,False,"{'a': 0.7, 'e': 0.946}",30,0,-109.13968935453327,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
55,False,"{'a': 0.7, 'e': 0.945}",20,0,-160.07646405692887,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
56,False,"{'a': 0.7, 'e': 0.944}",25,0,-132.52950385754258,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
57,False,"{'a': 0.7, 'e': 0.943}",20,0,-63.228499390855006,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
58,False,"{'a': 0.7, 'e': 0.942}",25,5,-59.16203312069736,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
59,False,"{'a': 0.7, 'e': 0.941}",20,10,-9.013347057093878,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.7, 'e': 0.94}",25,0,-69.57700938610728,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
61,False,"{'a': 0.7, 'e': 0.939}",25,0,-113.29935702456285,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
62,False,"{'a': 0.7, 'e': 0.938}",25,0,-216.20312295131484,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
63,False,"{'a': 0.7, 'e': 0.9369999999999999}",25,0,-189.4116758525087,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
64,False,"{'a': 0.7, 'e': 0.9359999999999999}",20,0,-19.409831466938872,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
65,False,"{'a': 0.7, 'e': 0.9349999999999999}",25,0,-211.02701520981643,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
66,False,"{'a': 0.7, 'e': 0.9339999999999999}",20,0,-90.29143333308816,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
67,False,"{'a': 0.7, 'e': 0.9329999999999999}",20,11,-7.404284912422169,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
68,False,"{'a': 0.7, 'e': 0.9319999999999999}",30,8,-131.1725689218218,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 2}",1
69,False,"{'a': 0.7, 'e': 0.9309999999999999}",30,0,-173.10598340514832,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
70,False,"{'a': 0.7, 'e': 0.9299999999999999}",30,0,-243.84397196131127,"{0: 14, 1: 5, 2: 6, 3: 1, 4: 4}",0
71,False,"{'a': 0.7, 'e': 0.9289999999999999}",30,0,-105.08583355088817,"{0: 22, 1: 1, 2: 3, 3: 3, 4: 1}",0
72,False,"{'a': 0.7, 'e': 0.9279999999999999}",20,0,-120.87469184081333,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
73,False,"{'a': 0.7, 'e': 0.9269999999999999}",30,0,-102.88506874298689,"{0: 19, 1: 4, 2: 4, 3: 3, 4: 0}",0
74,False,"{'a': 0.7, 'e': 0.9259999999999999}",20,0,-105.19101921505873,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
75,False,"{'a': 0.7, 'e': 0.9249999999999999}",20,0,-38.93018929228375,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
76,False,"{'a': 0.7, 'e': 0.9239999999999999}",30,0,-171.3527079814673,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
77,False,"{'a': 0.7, 'e': 0.9229999999999999}",20,0,-91.78659158498172,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
78,False,"{'a': 0.7, 'e': 0.9219999999999999}",20,0,-84.95518875285158,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
79,False,"{'a': 0.7, 'e': 0.9209999999999999}",25,0,-104.18989576372776,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
80,False,"{'a': 0.7, 'e': 0.9199999999999999}",25,0,-152.08190193034866,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
81,False,"{'a': 0.7, 'e': 0.9189999999999999}",25,0,-133.50003005523416,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
82,False,"{'a': 0.7, 'e': 0.9179999999999999}",25,0,-189.06710412461797,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
83,False,"{'a': 0.7, 'e': 0.9169999999999999}",20,2,-94.69960396751306,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 1}",1
84,False,"{'a': 0.7, 'e': 0.9159999999999999}",25,0,-122.57747807931312,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
85,False,"{'a': 0.7, 'e': 0.9149999999999999}",25,8,-40.062377054562596,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
86,False,"{'a': 0.7, 'e': 0.9139999999999999}",25,0,-133.4307495623658,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
87,False,"{'a': 0.7, 'e': 0.9129999999999999}",25,0,-66.75792325398547,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
88,False,"{'a': 0.7, 'e': 0.9119999999999999}",25,0,-56.19826324422797,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
89,False,"{'a': 0.7, 'e': 0.9109999999999999}",20,0,-73.47505383811742,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
90,False,"{'a': 0.7, 'e': 0.9099999999999999}",25,0,-68.13666293629491,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
91,False,"{'a': 0.7, 'e': 0.9089999999999999}",25,0,-121.28300262051441,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
92,False,"{'a': 0.7, 'e': 0.9079999999999999}",20,0,-105.07406969537037,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
93,False,"{'a': 0.7, 'e': 0.9069999999999999}",20,0,-58.33140260585589,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
94,False,"{'a': 0.7, 'e': 0.9059999999999999}",20,0,-97.44896621381378,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
95,False,"{'a': 0.7, 'e': 0.9049999999999999}",20,0,-55.98459378862304,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
96,False,"{'a': 0.7, 'e': 0.9039999999999999}",25,0,-57.782704353001826,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
97,False,"{'a': 0.7, 'e': 0.9029999999999999}",30,0,-209.5995341473606,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
98,False,"{'a': 0.7, 'e': 0.9019999999999999}",35,8,-114.63389063051679,"{0: 15, 1: 6, 2: 3, 3: 2, 4: 1}",1
99,False,"{'a': 0.7, 'e': 0.9009999999999999}",25,0,-107.46554391881739,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
100,False,"{'a': 0.7, 'e': 0.8999999999999999}",20,0,-106.87394838991477,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
101,False,"{'a': 0.7, 'e': 0.8989999999999999}",20,0,-154.35689992140178,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
102,False,"{'a': 0.7, 'e': 0.8979999999999999}",30,0,-178.76826447773269,"{0: 19, 1: 2, 2: 4, 3: 2, 4: 3}",0
103,False,"{'a': 0.7, 'e': 0.8969999999999999}",30,0,-142.61707037733453,"{0: 19, 1: 1, 2: 6, 3: 3, 4: 1}",0
104,False,"{'a': 0.7, 'e': 0.8959999999999999}",30,0,-198.39932729545785,"{0: 17, 1: 6, 2: 2, 3: 2, 4: 3}",0
105,False,"{'a': 0.7, 'e': 0.8949999999999999}",20,0,-180.41130835261913,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
106,False,"{'a': 0.7, 'e': 0.8939999999999999}",35,0,-128.66844309112454,"{0: 22, 1: 2, 2: 10, 3: 0, 4: 1}",0
107,False,"{'a': 0.7, 'e': 0.8929999999999999}",25,0,-172.1416428075655,"{0: 10, 1: 4, 2: 8, 3: 2, 4: 1}",0
108,False,"{'a': 0.7, 'e': 0.8919999999999999}",20,0,-78.96499030141274,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
109,False,"{'a': 0.7, 'e': 0.8909999999999999}",25,0,-148.7851890113466,"{0: 12, 1: 1, 2: 10, 3: 1, 4: 1}",0
110,False,"{'a': 0.7, 'e': 0.8899999999999999}",20,0,-58.33809083670037,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
111,False,"{'a': 0.7, 'e': 0.8889999999999999}",25,0,-152.51948686236102,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
112,False,"{'a': 0.7, 'e': 0.8879999999999999}",30,0,-132.76582850570682,"{0: 22, 1: 1, 2: 3, 3: 2, 4: 2}",0
113,False,"{'a': 0.7, 'e': 0.8869999999999999}",25,0,-61.10313063630265,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
114,False,"{'a': 0.7, 'e': 0.8859999999999999}",20,0,-53.63378232322256,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
115,False,"{'a': 0.7, 'e': 0.8849999999999999}",20,0,-42.4855273404466,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
