trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,-100,-531.7730548245612,"{0: 81, 1: 11, 2: 28, 3: 4, 4: 6}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-100,-620.3136194947178,"{0: 72, 1: 8, 2: 29, 3: 2, 4: 9}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,-100,-660.5328842010603,"{0: 72, 1: 10, 2: 27, 3: 0, 4: 11}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,-5,-184.76476611004017,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,-2,-172.00638415529,"{0: 22, 1: 2, 2: 2, 3: 3, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,-100,-607.6470461376272,"{0: 86, 1: 9, 2: 20, 3: 5, 4: 10}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,-20,-292.3965171949034,"{0: 29, 1: 6, 2: 7, 3: 4, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,-100,-794.3810839999696,"{0: 74, 1: 9, 2: 27, 3: 11, 4: 9}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,-100,-572.3626717560484,"{0: 79, 1: 12, 2: 22, 3: 4, 4: 8}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-17,-185.41921120574062,"{0: 22, 1: 2, 2: 7, 3: 5, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,-98,-808.4880073815899,"{0: 66, 1: 12, 2: 23, 3: 13, 4: 9}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,-15,-196.03313524413605,"{0: 24, 1: 1, 2: 11, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,-100,-718.9179653847458,"{0: 71, 1: 13, 2: 20, 3: 4, 4: 12}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,-38,-459.74661023766953,"{0: 35, 1: 4, 2: 15, 3: 1, 4: 8}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,-95,-743.5350335819232,"{0: 76, 1: 15, 2: 23, 3: 4, 4: 12}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,2,-77.64566464706019,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,-2,-83.34518907817936,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,-100,-751.5953453050292,"{0: 79, 1: 9, 2: 27, 3: 2, 4: 13}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-55,-318.46198661196297,"{0: 49, 1: 2, 2: 18, 3: 2, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,-100,-560.0892944306819,"{0: 73, 1: 9, 2: 34, 3: 4, 4: 5}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,-25,-208.8121021986451,"{0: 29, 1: 2, 2: 14, 3: 5, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,-81,-502.7599649220776,"{0: 64, 1: 13, 2: 19, 3: 3, 4: 7}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-100,-612.2338598758835,"{0: 80, 1: 5, 2: 21, 3: 3, 4: 11}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,-37,-418.88494089633576,"{0: 42, 1: 3, 2: 7, 3: 0, 4: 10}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,-95,-441.1694168176676,"{0: 76, 1: 11, 2: 19, 3: 3, 4: 6}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,-58,-277.5688934845687,"{0: 62, 1: 6, 2: 14, 3: 2, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,-100,-546.152079278017,"{0: 83, 1: 7, 2: 18, 3: 2, 4: 10}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,-100,-656.9326097546668,"{0: 71, 1: 12, 2: 30, 3: 4, 4: 8}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-100,-649.0868187773187,"{0: 61, 1: 18, 2: 28, 3: 8, 4: 5}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,-100,-711.2634490203891,"{0: 66, 1: 17, 2: 24, 3: 2, 4: 11}",0
